CF (Correct Answer)	Input	Similarity value
squareroot	distribution	0
observations	[timeout]	-0.119301
statistic	statistic	1
difference	root	0.01133235
describes|is|represents	describes	0.7441715
99.7	100	0
represent|describe|sample	describe	0.6454903
statistic	statistic	1
probability	standard range	0.04616618
statistic	probability	0.1360118
rootmeansquarederror	squared root error	0
subject|participant|participants	subject	0.9450604
describes|is|represents	describes	0.7441715
statistic	statistic	1
95	98	0
statistic	statistic	1
variance	distribution	0.1301108
subject|participant|participants	subject	0.9450604
normal	normal	1
subject|participant|participants	subject	0.9450604
sample	range	0.1368643
different|far|variable	[timeout]	0.05748892
statistic	statistic	1
sample	range	0.1368643
rootmeansquarederror	squared root mean error	0
statistic	statistic	1
standarddeviation	standard deviation	0
describes|is|represents	describes	0.7441715
statistic	rane\ge	0
subject|participant|participants	subject	0.9450604
statistic	statistic	1
standarddeviation	probability	0
95	95	0
different|far|variable	varied	0.03651192
sample	standard deviation	0.178842
sample	sample	1
subject|participant|participants	subject	0.9450604
standarddeviation	average	0
statistic	sample	0.1564132
range	range	1
squared	normal	0.06034777
samplemean|mean	standard deviation	0.1056104
standarderror	[timeout]	0
sum	total	0.2582886
observations	characteristics	0.04812603
range|set	sample	0.1380402
likelihood|probability	probability	0.8752168
sample	deviation	0.2140311
range	standard deviation	0.1463666
95	95	0
normal	sample	-0.0742522
observations	values	-0.05607055
rootmeansquarederror	squared root mean error	0
subject|participant|participants	subject	0.9450604
variable|random	variable	0.9121205
subject|participant|participants	subject	0.9450604
samplemean|mean	mean	1
sum	sum	1
normal	normal	1
standarddeviation	standard deviation	0
variability	range	0.07581243
95	95	0
likelihood|probability	probability	0.8752168
squared	normal	0.06034777
standarderror	variability	0
variability	statistics	0.3003967
range	range	1
range|set	range	0.7634179
standarddeviation	normal	0
statistic	stastic	0
variable|random	[timeout]	0.08665657
sample	range	0.1368643
normal	standard deviation	0.06305595
normal	normal	1
likelihood|probability	variability	0.1104503
subject|participant|participants	subject	0.9450604
range	range	1
multiple|many	standard error	0.06636655
sum	mean	0.06994807
sample	sample	1
variability	range	0.07581243
rootmeansquarederror	root mean squared error	0
sample	statistic	0.1564132
mean	sample	0.04083578
standarddeviation	standard deviation	0
squared	standard error	0.05692554
range|set	range	0.7634179
variable|random	variable	0.9121205
expect	sample	0.06062667
95	95	0
normal	standard deviation	0.06305595
squareroot	[timeout]	0
likelihood|probability	[timeout]	0.07016187
different|far|variable		NA
dividing		NA
squared		NA
different|far|variable		NA
squared		NA
describes|is|represents	mean	0.04477699
range|set	set	0.6705973
squareroot	[timeout]	0
different|far|variable	different	0.6180547
variance	mean	0.01016356
different|far|variable	[timeout]	0.05748892
statistic	square root	0.008004451
statistic	number	0.1059846
68	50	0
squareroot	square root	0
different|far|variable	different	0.6180547
squared	squared	1
different|far|variable	different	0.6180547
statistic	statistic	1
68	68	0
dividing	[timeout]	-0.06684689
likelihood|probability	[timeout]	0.07016187
68	68	0
squared	[timeout]	0.03092544
different|far|variable	different	0.6180547
sample	squared	0.09007537
68	68	0
range|set	set	0.6705973
describes|is|represents	defines	0.08065788
squareroot	square root	0
different|far|variable	different	0.6180547
squared	[timeout]	0.03092544
likelihood|probability	[timeout]	0.07016187
variance	[timeout]	-0.03662752
range	[timeout]	0.003927464
range	difference	0.02140272
subject|participant|participants	subject	0.9450604
squared	[timeout]	0.03092544
participated	participate	0.2836498
dividing	squared	-0.1642061
measure|represent|describe	measure	0.7689974
normal	[timeout]	-0.007178908
2	2	0
range|set	set	0.6705973
population	average	0.2582064
1|one	square root	0.01726396
2	2	0
symmetric	1	0
equal	[timeout]	-0.001709098
likelihood|probability	[timeout]	0.07016187
involves|uses|includes|observes	uses	0.6675121
2	2	0
count	squared	-0.03703771
dividing	squaring	0.05863501
represent|describe|sample	average	0.1212856
standarddeviation	variable	0
equal	equal	1
95	95	0
observation	average	0.003503756
2	2	0
squared	squared	1
sum	sum	1
symmetric	1	0
mean|samplemean|average	[timeout]	-0.01016386
sample	[timeout]	0.01504148
normal	[timeout]	-0.007178908
symmetric	[timeout]	0.03159622
standarddeviation	[timeout]	0
different|far|variable	[timeout]	0.05748892
likelihood|probability	likelihood	0.4928042
range|set	set	0.6705973
difference	difference	1
standarddeviation		NA
expect	find	-0.0003544023
individual|single	much	-0.03224945
describes|is|represents	defines	0.08065788
99.7	95	0
represent|describe|sample	[timeout]	-0.02292833
standarddeviation	man	0
normal	standard deviation	0.06305595
sample	[timeout]	0.01504148
range|set	set and range	0.9999787
symmetric	68	0
rootmeansquarederror	mean	0
count	range	-0.01143153
likelihood|probability	likelihood	0.4928042
different|far|variable	different	0.6180547
sample	sample	1
individual|single	different	0.1370365
describes|is|represents	describes	0.7441715
participated	work	-0.0111732
range	range	1
difference	root	0.01133235
99.7	99.7	0
standarddeviation	standard deviation	0
represent|describe|sample	represent	0.5618359
expect	expect	1
standarddeviation	standard deviation	0
normal	normal	1
range	range	1
standarddeviation	standard deviation	0
sample	mean	0.04083578
range	range	1
standarddeviation	sample	0
99.7	99.7	0
likelihood|probability	likelihood	0.4928042
describes|is|represents	describes	0.7441715
different|far|variable	different	0.6180547
represents|describes|shows	describes	0.5329534
participated	participate	0.2836498
difference	root	0.01133235
individual|single	different	0.1370365
count	range	-0.01143153
samples	square root	0.1007672
rootmeansquarederror	squared root difference error	0
range|set	range	0.7634179
symmetric	99.7	0
statistic	style	-0.0488748
involves|uses|includes|observes	uses	0.6675121
normal	[timeout]	-0.007178908
normal	normal	1
standarddeviation	sample	0
count	parts	0.0345112
standarddeviation	pi	0
density	square root	0.1657298
samples	people	0.005801938
normal	variable	-0.01733265
samples	samples	1
normal	normal	1
standarddeviation	sample	0
statistic	statistic	1
samples	samples	1
samples	samples	1
normal	normal	1
involves|uses|includes|observes	uses	0.6675121
density	standard deviation	0.07013468
samples	statistics	0.128976
mean|samplemean|average	mean	0.6045831
statistic	statistic	1
samples	samples	1
normal	normal	1
count	total	0.1454826
samples	samples	1
range	range	1
statistic	statistic	1
samples	samples	1
variance	standard deviation	0.04290871
density	density	1
statistic	statistic	1
normal	normal	1
individual|single	sample	0.01109423
range|set	range	0.7634179
mean|samplemean|average	mean	0.6045831
dividing	adding	-0.04662541
observations	samples	0.04512589
statistic	statistic	1
standarderror	standard error	0
count	count	1
standarddeviation	standard deviation	0
1	-1	0
dividing	dividing	1
sample	standard deviation	0.178842
statistic	statistic	1
standarderror	standard error	0
mean|samplemean|average	mean	0.6045831
represents|describes|shows	describes	0.5329534
multiple|many	individual	-0.01221216
observations	errors	0.05308265
99.7	95	0
different|far|variable	different	0.6180547
represents|describes|shows	describes	0.5329534
mean|samplemean|average	mean	0.6045831
standarddeviation	standard deviation	0
range	range	1
statistic	statistic	1
normal	normal	1
variable|random	described	0.01651935
statistic	statistic	1
normal	normal	1
observation	sample	0.07037972
variance	variable	0.3099827
variability	variance	0.09235277
rootmeansquarederror	[timeout]	0
mean|samplemean|average	outcome	0.04664823
normal	normal	1
difference	count	-0.0224793
same	sample	0.06675031
sample	pool	-0.02086288
statistic	number	0.1059846
observations	samples	0.04512589
distribution	mean	-0.02034599
range	range	1
standarddeviation	variability	0
observations	samples	0.04512589
distribution	mean	-0.02034599
probability|likelihood|chance	chance	0.6998413
mean|samplemean|average	mean	0.6045831
population	observations	0.04064432
standarddeviation	standard deviation	0
expect	know	0.08008067
statistic	statistic	1
normal	normal	1
normal	normal	1
same	sample	0.06675031
variability	variability	1
mean	mean root squared	0.6619045
variance	mean	0.01016356
range	range	1
rootmeansquarederror	mean	0
normal	normal	1
sample	[timeout]	0.01504148
statistic	group	0.03520112
variable|random	observed	-0.04311313
squareroot	mean	0
standarddeviation	sample	0
normal	normal	1
normal	normal	1
variance	mean	0.01016356
standarddeviation	standard deviation	0
mean|samplemean|average	mean	0.6045831
68	99.7	0
statistic	statistic	1
observation	sample	0.07037972
normal	normal	1
mean	mean	1
distribution	standard deviation	0.1277215
sample	sample	1
variability	standard deviation	-0.06004029
expect	expect	1
95	[timeout]	0
symmetric	[timeout]	0.03159622
68	68	0
standarddeviation	sample	0
variable|random	random	0.5839639
99.7	99	0
95	98	0
subject|participant|participants	population	-0.01543897
sample	sample	1
squared	squared	1
standarddeviation	standard deviation	0
variable|random	random	0.5839639
standarddeviation	standard deviation	0
standarddeviation	standard deviation	0
squared	squared	1
99.7	99.7	0
symmetric	symmetric	1
squared	squared	1
standarddeviation	standard deviation	0
symmetric	symmetric	1
68	68	0
standarddeviation	standard deviation	0
sample	sample	1
involves|uses|includes|observes	involves	0.6161347
variable|random	random	0.5839639
standarddeviation	standard deviation	0
statistic	statistic	1
standarddeviation	standard deviation	0
symmetric	symmetric	1
standarddeviation	[timeout]	0
sample	sample	1
symmetric	symmetric	1
likelihood|probability	probability	0.8752168
observation	value	-0.04629001
sample	sample	1
count	total	0.1454826
variability	variability	1
observation	value	-0.04629001
range|set	range	0.7634179
different|far|variable	far	0.4117256
symmetric	symmetric	1
observations	numbers	-0.04742211
statistic	statistic	1
sample	sample	1
range|set	range	0.7634179
divided	divided	1
sample	sample	1
standarderror	variance	0
variability	variability	1
symmetric	symmetric	1
samplemean|mean	mean	1
sample	sample	1
symmetric	symmetric	1
observations	observations	1
variability	variability	1
observation	value	-0.04629001
2	1	0
likelihood|probability	probability	0.8752168
standarddeviation	standard deviation	0
subject|participant|participants	subject	0.9450604
different|far|variable	far	0.4117256
individual|single	much	-0.03224945
normal	normal	1
statistic	statistic	1
divided	divided	1
range	range	1
rootmeansquarederror	[timeout]	0
equal	similar	0.01532995
sample	distribution	0.2488885
variable|random	random	0.5839639
variability	range	0.07581243
describes|is|represents	is	0.3004219
variance	variance	1
range	range	1
likelihood|probability	probability	0.8752168
statistic	statistic	1
difference	root	0.01133235
different|far|variable	far	0.4117256
observations	numbers	-0.04742211
standarddeviation	standard deviation	0
variable|random	random	0.5839639
range	range	1
density	variability	0.1085139
range	range	1
describes|is|represents	is	0.3004219
individual|single	far	0.01204383
mean|samplemean|average	mean	0.6045831
normal	symmetric	-0.03673305
variance	variance	1
subject|participant|participants	subject	0.9450604
sample	sample	1
individual|single	individual	0.8333944
range	range	1
range	range	1
probability	probability	1
mean	root of the mean	0.6745689
normal	normal	1
observations	observations	1
likelihood|probability	probability	0.8752168
variable|random	random	0.5839639
variance	mean	0.01016356
sample	sample	1
describes|is|represents	is	0.3004219
count	count	1
different|far|variable	far	0.4117256
standarddeviation	standard deviation	0
probability|likelihood|chance	probability	0.6468432
subject|participant|participants	subject	0.9450604
statistic	statistic	1
characteristic	[timeout]	-0.05124748
statistic	[timeout]	-0.02000074
sample	[timeout]	0.01504148
variability	[timeout]	-0.1216482
sample	[timeout]	0.01504148
variability	[timeout]	-0.1216482
sample	[timeout]	0.01504148
expect	[timeout]	0.06841187
squared	[timeout]	0.03092544
observations	[timeout]	-0.119301
standarderror	[timeout]	0
same	[timeout]	-0.04236013
probability	[timeout]	0.1245291
same	[timeout]	-0.04236013
range	[timeout]	0.003927464
characteristic	[timeout]	-0.05124748
variability	[timeout]	-0.1216482
sample	[timeout]	0.01504148
range	[timeout]	0.003927464
observations	[timeout]	-0.119301
sample	[timeout]	0.01504148
probability	[timeout]	0.1245291
sample	[timeout]	0.01504148
range	[timeout]	0.003927464
range	[timeout]	0.003927464
probability	[timeout]	0.1245291
mean	[timeout]	-0.03138116
expect	[timeout]	0.06841187
variability	[timeout]	-0.1216482
sample	[timeout]	0.01504148
standarderror	[timeout]	0
dividing	[timeout]	-0.06684689
samplemean|mean	[timeout]	-0.03138116
probability	[timeout]	0.1245291
sample	[timeout]	0.01504148
standarddeviation	[timeout]	0
variance	[timeout]	-0.03662752
squared	[timeout]	0.03092544
represents|describes|shows	[timeout]	-0.07480666
3	[timeout]	0
probability	[timeout]	0.1245291
dividing	[timeout]	-0.06684689
characteristic	[timeout]	-0.05124748
probability	[timeout]	0.1245291
range|set	[timeout]	-0.02050513
1|one	[timeout]	0.00668314
different|far|variable	[timeout]	0.05748892
represents|describes|shows	[timeout]	-0.07480666
squareroot	[timeout]	0
variance	[timeout]	-0.03662752
1	[timeout]	0
variability	[timeout]	-0.1216482
probability|likelihood|chance	[timeout]	0.04769977
range	[timeout]	0.003927464
dividing	[timeout]	-0.06684689
samplemean|mean	[timeout]	-0.03138116
variance	[timeout]	-0.03662752
different|far|variable	[timeout]	0.05748892
population	[timeout]	-0.03986163
1|one	[timeout]	0.00668314
likelihood|probability	[timeout]	0.07016187
95	[timeout]	0
standarddeviation	[timeout]	0
represents|describes|shows	[timeout]	-0.07480666
range	[timeout]	0.003927464
symmetric	[timeout]	0.03159622
count	[timeout]	0.03134056
variance	[timeout]	-0.03662752
difference	[timeout]	0.04116857
involves|uses|includes|observes	[timeout]	-0.07577596
standarderror	[timeout]	0
probability|likelihood|chance	[timeout]	0.04769977
3	[timeout]	0
observations	[timeout]	-0.119301
characteristic	[timeout]	-0.05124748
same	[timeout]	-0.04236013
samples	[timeout]	-0.02774676
95	[timeout]	0
count	[timeout]	0.03134056
variance	[timeout]	-0.03662752
same	[timeout]	-0.04236013
subject|participant|participants	[timeout]	0.02804829
represents|describes|shows	[timeout]	-0.07480666
statistic	[timeout]	-0.02000074
equal	[timeout]	-0.001709098
range	[timeout]	0.003927464
standarderror	[timeout]	0
probability|likelihood|chance	[timeout]	0.04769977
99.7	[timeout]	0
observations	[timeout]	-0.119301
difference	[timeout]	0.04116857
characteristic	[timeout]	-0.05124748
range|set	[timeout]	-0.02050513
sample	[timeout]	0.01504148
sample	[timeout]	0.01504148
99.7	[timeout]	0
likelihood|probability	[timeout]	0.07016187
equal	[timeout]	-0.001709098
standarderror	[timeout]	0
involves|uses|includes|observes	[timeout]	-0.07577596
sum	[timeout]	0.1130021
2	[timeout]	0
observations	[timeout]	-0.119301
observations	[timeout]	-0.119301
same	[timeout]	-0.04236013
difference	[timeout]	0.04116857
represents|describes|shows	[timeout]	-0.07480666
range	[timeout]	0.003927464
variable|random	[timeout]	0.08665657
characteristic	[timeout]	-0.05124748
probability|likelihood|chance	[timeout]	0.04769977
variance	[timeout]	-0.03662752
observations	numbers	-0.04742211
dividing	multiplying	0.1558398
range	[timeout]	0.003927464
difference	root	0.01133235
standarddeviation	variance	0
dividing	subtracting	0.09487411
characteristic	range	0.07808504
range	range	1
dividing	dividing	1
difference	variance	0.02510126
normal	normal	1
represent|describe|sample	represent	0.5618359
dividing	dividing	1
rootmeansquarederror	mean square error	0
characteristic	characteristic	1
range	range	1
standarderror	variance	0
difference	difference	1
represent|describe|sample	represent	0.5618359
dividing	dividing	1
variance	[timeout]	-0.03662752
observations	an event	0.05426442
standarderror	standard error	0
dividing	dividing	1
range	range	1
standarddeviation	mean squared error	0
dividing	dividing	1
standarderror	standard error	0
99.7	68%	0
difference	root	0.01133235
range	range	1
range	range	1
dividing	dividing	1
samplemean|mean	mean	1
variance	variation	-0.06606006
mean	mean	1
range	range	1
represents|describes|shows	describes	0.5329534
observations	observations	1
statistic	number	0.1059846
range	range	1
observations	observations	1
standarddeviation	variance	0
represents|describes|shows	describes	0.5329534
statistic	statistic	1
variance	variance	1
range|set	range	0.7634179
equal	similar	0.01532995
different|far|variable	different	0.6180547
observations	observations	1
range|set	range	0.7634179
range	range	1
represents|describes|shows	describes	0.5329534
range	range	1
probability|likelihood|chance	chance	0.6998413
variability	variance	0.09235277
measure|represent|describe	measure	0.7689974
equal	equal	1
statistic	statistic	1
variability	range	0.07581243
probability|likelihood|chance	chance	0.6998413
variance	variance	1
expect	measure	-0.01068558
standarddeviation	standard deviation	0
99.7	68	0
range	range	1
participated	participate	0.2836498
sample	range	0.1368643
samplemean|mean	mean	1
range|set	range	0.7634179
observations	an event	0.05426442
represent|describe|sample	represent	0.5618359
range	range	1
squared	standard	0.06013192
range	range	1
describes|is|represents	represents	0.6913312
standarddeviation	standard deviation	0
count	square	0.04753635
standarderror	standard error	0
same	same	1
equal	equal	1
variance	variance	1
observations	observations	1
range	range	1
sum	sum	1
standarderror	standard error	0
standarddeviation	standard deviation	0
range	range	1
statistic	count	0.08185426
observations	an observation	0.5086197
range	range	1
sample	observation	0.07037972
observations	observations	1
symmetric	[timeout]	0.03159622
represent|describe|sample	represent	0.5618359
variance	variance	1
sample	mean	0.04083578
subject|participant|participants	partipant	0
same	same	1
observation	observation	1
squared	standard	0.06013192
observations	an observation	0.5086197
same	same	1
observations	observations	1
count	[timeout]	0.03134056
equal	equal	1
range	range	1
range	range	1
squared	squared	1
variance	mean	0.01016356
range	range	1
subject|participant|participants	participant	0.2563814
describes|is|represents	describes	0.7441715
standarderror	standard error	0
expect	expect	1
observations	observations	1
variance	variance	1
density	variance	0.03799563
represent|describe|sample	represent	0.5618359
mean	variable	0.01982022
3	[timeout]	0
expect	[timeout]	0.06841187
count	amount	0.1718728
observation	value	-0.04629001
sample	number	0.09094838
observations	values	-0.05607055
1|one	half	0.1417876
sample	set	0.05641246
mean	mean	1
1|one	1	0
mean	mean	1
squareroot	deviation	0
samplemean|mean	mean	1
mean	mean	1
observation	average	0.003503756
mean	variable	0.01982022
mean	mean	1
statistic	[timeout]	-0.02000074
1|one	1	0
count	value	0.1480831
observation	value	-0.04629001
3	3	0
observation	value	-0.04629001
statistic	count	0.08185426
1|one	1	0
variance	variable	0.3099827
mean	mean	1
mean	mean	1
sample	group	0.02854041
3	3	0
involves|uses|includes|observes	has	-0.01483579
measure|represent|describe	measure	0.7689974
observation	value	-0.04629001
normal	standard	0.02859854
statistic	variable	0.1429316
1	3	0
measure|represent|describe	measure	0.7689974
sample	sample	1
rootmeansquarederror	square root variance problem	0
subject|participant|participants	being	0.07460973
observation	variable	-0.01528538
same	same	1
units	units	1
statistic	number	0.1059846
distribution	mean	-0.02034599
equal	proportional	0.2980248
participated	participate	0.2836498
3	3	0
range	mean	0.04283211
normal	statistic	0.007937814
sample	sample	1
distribution	variable	0.1340142
represents|describes|shows	shows	0.8075404
observation	value	-0.04629001
normal	normal	1
expect	observe	0.07085706
1	1	0
observation	value	-0.04629001
variance	variable	0.3099827
participated	participate	0.2836498
participated	participate	0.2836498
statistic	value	0.09144314
observation	value	-0.04629001
variance	mean	0.01016356
3	3	0
equal	equal	1
sample	sample	1
count	count	1
standarddeviation	normal	0
individual|single	numbers	-0.06904162
expect	know	0.08008067
difference	root	0.01133235
population	group	-0.02205705
squareroot	square root	0
1	1	0
2	3	0
standarddeviation	variable	0
range|set	set	0.6705973
variability	deviation	-0.07206514
observation	value	-0.04629001
difference	difference	1
range|set	set	0.6705973
dividing	adding	-0.04662541
standarddeviation	average	0
2	2	0
3	3	0
equal	equal	1
standarddeviation	variability	0
standarddeviation	[timeout]	0
statistic	value	0.09144314
subject|participant|participants	participants	0.3185288
observations	values	-0.05607055
1	1	0
count	count	1
expect	believe	0.06617213
population	observation	-0.0004977721
statistic	observation	0.05970104
population	sample	0.1951308
standarddeviation	variability	0
statistic	number	0.1059846
range|set	set	0.6705973
count	count	1
describes|is|represents	deviation	0.02372568
equal	equal	1
involves|uses|includes|observes	involves	0.6161347
variance	mean	0.01016356
variance	standard deviation	0.04290871
expect	expect	1
3	3	0
variability	variabliity	0
2	2	0
same	same	1
observation	value	-0.04629001
1	1	0
squareroot	square root	0
participated	participated	1
rootmeansquarederror	offset	0
standarderror	[timeout]	0
squareroot	mean	0
different|far|variable	far	0.4117256
divided	divided	1
sample	value	0.07095717
involves|uses|includes|observes	involves	0.6161347
same	total	0.04385491
sample	sample	1
normal	[timeout]	-0.007178908
rootmeansquarederror	mean square root	0
probability|likelihood|chance	[timeout]	0.04769977
observations	samples	0.04512589
variance	mean	0.01016356
divided	divided	1
sample	sample	1
rootmeansquarederror	root mean squared error	0
standarddeviation	deviation	0
observation	[timeout]	-0.1081844
variance	observation	0.02288393
expect	[timeout]	0.06841187
divided	divided	1
mean	mean	1
standarddeviation	standard	0
different|far|variable	[timeout]	0.05748892
same	[timeout]	-0.04236013
2	[timeout]	0
participated	participate	0.2836498
samplemean|mean	mean	1
expect	found	0.04210579
divided	divided	1
rootmeansquarederror	root mean squared error	0
range	range	1
divided	divided	1
range	range	1
multiple|many	often	0.1703468
variability	standard deviation	-0.06004029
range	range	1
same	same	1
observations	deviation	0.09633775
range	range	1
divided	divided	1
mean	mean	1
range	range	1
variability	variance	0.09235277
range	range	1
dividing	dividing	1
individual|single	expected	0.02035884
variability	variance	0.09235277
divided	divided	1
observations	observations	1
range	range	1
range	range	1
represent|describe|sample	represent	0.5618359
same	same	1
variability	variables	-0.04245454
dividing	dividing	1
different|far|variable	different	0.6180547
represent|describe|sample	represent	0.5618359
observations	variability	0.1464305
range	range	1
divided	divided	1
range	range	1
variability	variability	1
range	range	1
subject|participant|participants	sample	-0.05426542
divided	divided	1
difference	root	0.01133235
standarderror	deviation	0
mean	mean	1
observations	observations	1
describes|is|represents	is	0.3004219
statistic	statistic	1
3	2	0
probability|likelihood|chance	variability	0.08281594
range	range	1
standarddeviation	mean	0
dividing	dividing	1
range	range	1
standarddeviation	standard deviation	0
variable|random	observed	-0.04311313
statistic	sample	0.1564132
probability	[timeout]	0.1245291
difference	standard error	0.0949233
variability	standard deviation	-0.06004029
normal	sample	-0.0742522
population	observations	0.04064432
observations	observations	1
measure|represent|describe	sample	0.1154299
range	range	1
divided	divided	1
expect	observed	-0.004735618
statistic	statistic	1
range	range	1
standarderror	standard error	0
subject|participant|participants	subject	0.9450604
probability|likelihood|chance	probability	0.6468432
observations	standard deviation	0.06244644
probability	probability	1
standarddeviation	standard deviation	0
dividing	dividing	1
standarderror	standard error	0
range	range	1
samples	samples	1
variability	standard deviation	-0.06004029
range	range	1
observations	standard deviation	0.06244644
statistic	statistic	1
rootmeansquarederror	standard error	0
probability	probability	1
divided	divided	1
99.7	2	0
units	probability	-0.0294569
difference	root	0.01133235
observations	observations	1
samplemean|mean	mean	1
probability|likelihood|chance	probability	0.6468432
dividing	dividing	1
subject|participant|participants	subject	0.9450604
rootmeansquarederror	[timeout]	0
sample	[timeout]	0.01504148
68	[timeout]	0
sum	sum	1
standarddeviation	[timeout]	0
range	range	1
95	[timeout]	0
observations	[timeout]	-0.119301
range|set	range	0.7634179
participated	participated	1
likelihood|probability	likelihood	0.4928042
range	range	1
distribution	distribution	1
normal	normal	1
variable|random	[timeout]	0.08665657
dividing	dividing	1
normal	normal	1
95	95	0
range|set	range	0.7634179
sample	sample	1
rootmeansquarederror	root mean squared error	0
distribution	distribution	1
95	95	0
sample	sample	1
95	95	0
variable|random	variable	0.9121205
distribution	distribution	1
observations	observations	1
participated	participated	1
sample	sample	1
range|set	[timeout]	-0.02050513
standarddeviation	[timeout]	0
count	count	1
describes|is|represents	[timeout]	-0.07837661
statistic	statistic	1
range|set	range	0.7634179
subject|participant|participants	subject	0.9450604
95	95	0
range|set	range	0.7634179
95	95	0
range|set	range	0.7634179
statistic	statistic	1
describes|is|represents	describes	0.7441715
statistic	statistic	1
variable|random	variable	0.9121205
subject|participant|participants	subject	0.9450604
statistic	statistic	1
95	95	0
sample	sample	1
99.7	97	0
99.7	99.7	0
standarddeviation	standard deviation	0
describes|is|represents	describes	0.7441715
range|set	range	0.7634179
range|set	range	0.7634179
participated	participated	1
range|set	range	0.7634179
variable|random	varable	0
range|set	range	0.7634179
describes|is|represents	describes	0.7441715
95	95	0
probability|likelihood|chance	likelihood	0.3508941
1|one	one	1
normal	normal	1
different|far|variable	[timeout]	0.05748892
population	population	1
variance	variance	1
describes|is|represents	describes	0.7441715
difference	[timeout]	0.04116857
range	range	1
range	range	1
likelihood|probability	likelihood	0.4928042
mean|samplemean|average	mean	0.6045831
statistic	statistic	1
individual|single	[timeout]	-0.04643578
subject|participant|participants	subject	0.9450604
symmetric	symmetric	1
statistic	statistic	1
standarddeviation	standard deviation	0
1	1	0
individual|single	individual	0.8333944
standarddeviation	individual	0
rootmeansquarederror	root mean squared error	0
subject|participant|participants	subject	0.9450604
statistic	statistic	1
describes|is|represents	describs	0
observation	range	-0.05421012
statistic	statistic	1
variance	[timeout]	-0.03662752
different|far|variable	different	0.6180547
likelihood|probability	likelihood	0.4928042
1|one	one	1
symmetric	symmetrical	0.1174222
divided	divided	1
normal	normal	1
population	population	1
range	range	1
mean|samplemean|average	mean	0.6045831
normal	standard	0.02859854
statistic	statistic	1
1	1	0
statistic	statistic	1
samples	samples	1
rootmeansquarederror	root mean squared error	0
individual|single	individual	0.8333944
standarddeviation	individual	0
1|one	one	1
symmetric	symmetric	1
mean	[timeout]	-0.03138116
describes|is|represents	describes	0.7441715
density	density	1
subject|participant|participants	subject	0.9450604
normal	normal	1
likelihood|probability	likelihood	0.4928042
different|far|variable	different	0.6180547
population	outcome	0.03532007
characteristic	example	0.08993112
represents|describes|shows	contains	0.1999107
range	mode	-0.01302085
standarderror	variation	0
range	range	1
range	range	1
represents|describes|shows	changes	0.04118604
same	variable	0.05982961
range	[timeout]	0.003927464
same	average	0.06188349
variance	number	0.0532395
difference	right	0.02962241
variance	difference	0.02510126
represent|describe|sample	separate	0.0323827
range	variance	0.006271204
range	range	1
observations	change	-0.06331724
characteristic	form	0.1502135
observations	variance	0.07152727
difference	difference	1
standarderror	variance	0
variance	characteristics	0.004967179
range	range	1
variable|random	different	0.0874528
variance	difference	0.02510126
observations	variance	0.07152727
represents|describes|shows	changes	0.04118604
standarderror	variance	0
observations	variance	0.07152727
range	range	1
samples	observations	0.04512589
standarderror	standard error	0
symmetric	equal	0.05834246
95	100	0
normal	equal	-0.1032855
observation	change	-0.09017142
range	range	1
samples	observations	0.04512589
symmetric	variable	-0.0356911
subject|participant|participants	being	0.07460973
3	95 100	0
standarderror	variation	0
normal	standard	0.02859854
represent|describe|sample	change	-0.002750994
symmetric	symmetric	1
symmetric	symmetric	1
characteristic	characteristic	1
standarderror	standard error	0
range|set	sample	0.1380402
observations	samples	0.04512589
symmetric	symmetric	1
population	places	-0.1122443
equal	equal	1
mean	observation	0.07500567
sample	mean	0.04083578
3	3	0
sample	sample	1
3	3	0
2	2	0
range	range	1
dividing	average	0.1374331
samples	solutions	0.04226119
standarderror	standard error	0
range	range	1
range|set	range	0.7634179
characteristic	example	0.08993112
divided	divided	1
difference	average	0.02778608
probability	mean	0.05055491
statistic	probability	0.1360118
units	tools	-0.06006117
different|far|variable	different	0.6180547
range	range	1
participated	participate	0.2836498
observations	values	-0.05607055
distribution	probability	0.1551336
standarddeviation	error	0
rootmeansquarederror	standard error	0
density	difference	0.1479425
standarddeviation	average	0
range	range	1
range	range	1
variability	standard deviation	-0.06004029
standarddeviation	variable	0
range	range	1
subject|participant|participants	subject	0.9450604
difference	observation	0.1470814
expect	do	-0.01119656
probability	probability	1
distribution	probability	0.1551336
standarderror	standard error	0
characteristic	example	0.08993112
population	example	0.06253935
dividing	dividing	1
divided	divided	1
standarderror	standard error	0
samplemean|mean	mean	1
probability	probability	1
range	range	1
variable|random	collected	0.1252525
observations	values	-0.05607055
dividing	difference	0.03243131
range	range	1
observation	value	-0.04629001
standarddeviation	variable	0
likelihood|probability	likelihood	0.4928042
variability	standard deviation	-0.06004029
difference	difference	1
characteristic	example	0.08993112
subject|participant|participants	subject	0.9450604
range	range	1
standarddeviation	current	0
divided	divided	1
units	methods	-0.0827857
variance	[timeout]	-0.03662752
variance	varience	0
standarddeviation	deviation	0
normal	mean	-0.1335391
variability	outcome	0.07204434
normal	mean	-0.1335391
units	measures	0.2361668
normal	normal	1
normal	[timeout]	-0.007178908
variance	standard	0.04679672
count	number	0.2801012
involves|uses|includes|observes	uses	0.6675121
normal	normal	1
variance	varience	0
observations	numbers	-0.04742211
normal	normal	1
variance	varience	0
units	units	1
normal	normal	1
normal	normal	1
standarddeviation	standard deviations	0
count	count	1
variability	varience	0
involves|uses|includes|observes	uses	0.6675121
variance	varience	0
