text,score1,score2,class
"The author concludes the paragraph with this paragraph because she wants to try again. The author is saying that the hibiscus she planted last year did not work and she is trying again this year to grow a hibiscus plant. She will pass the test if she succeds in the spring. That is why the author concludes with this paragraph.",x1,x1,x1,10340
"He concludes that when it is spring he will take the test again. That will give her another chance to pass it. This will give her another chance to do what is right.",x1,x1,x1,10341
"She going to take the test agan Because she feels like She needs to and She Says  when the snow melts and geese came back that means She wants to take the in the Spring. ",x1,x1,x1,10342
"'In “Winter Hibiscus” the author Final sentence is “When they come back Saeng vowed silently to herself, in spring, when the snow melt and the geese return and this hibiscus is budding, then I will take that test again''.. I think the rememberence of home will help her take the test. She use to the geese and plant to remind her of home and by having these surroundings makes her comfortable'",x1,x1,x1,10343
"'In the same way the hibiscus flower prevails in the winter saeng wants to be the same way. Saeng failed a test which makes her feel unsuccessful. Saeng wants to prevail she wants to stick it out and the rough times she’s going through make it very difficult for her. When Saeng says “I – I failed the test” this shows that saeng feels disappointe that she didn’t  expect that because she is a fighter, So the author ends the passage with saeng saying” When they come back, in the spring, when snows melt, and the geese return and this hibiscus is budding, then I will take that test again.” To show how much of a fighter Saeng is because she’s determined to strive under difficult conditions.'",x2,x2,x2,10344
"The author puts this paragraph last because it shows that saeng is looking to a new lease almost on life. She now has something to take her through the year that is ahead of her she now wait till it is winter once again to see the hibiscus flower bloom once again and as wel as many more to come",x1,x1,x1,10345
"'In the story “Winter Hibiscus” by Minfong Ho, I believe she concludes the story in this way to show that even though Saeng failed the test, she will try again someday, someday being symbolized by when the geese come back. Saeng is sad because she missis her homeland and she sees plants that bringback memories, so she buys a winter hibiscus to ease & comfort her & remind her of home.'",x1,x1,x1,10346
"'The Author concudes this story with paragraph because She loves her garden. She concudes it because the story is about then and their garden and it eventually turns cold leaving them nothing to do untill Spring. Itsuggest they have strong feelings For what they do as it says ''in In spring when the snow nelts and the gese return and this hibiscus budding'' hears she wants to take the tst to overcome and prove She can take care of her Garden.'",x0,x0,x0,10347
"At this time she vowed to retake a test cause of how the flowers will always come and go but her grades will be there only one time for her school work. Instead  she rather garden then do school work.",x0,x0,x0,10348
"'The author  concludes the story with this paragraph because the winter hibiscus gave her some hope. Also , because her mother was understanding  about  her  failing the test. That is why the author concludes the story with the paragraph .'",x1,x1,x1,10349
"'The author concludes the story with optimism and hope for the future. She finishes her story with “when they come back, Saeng vowed silently to herself, in the spring, when the snows melt and the geese return and this hibiscus is budding, then I will take the test again. By concluding the story in that way it helps demonstrate the hope the hibiscus plant brought to her after she failed her drivers test. The hibiscus the helped give Saeng one step closer to adapting to her new home. It says in the story Almost reluctantly, she realized that many of the things that she had thought of strange before, through the quit repition of season upon season, almost femiliar to her now.”  In the way the author ends the story it helps give inspiration for a new beginning and new season.'",x3,x2,x3,10350
"'In the story,  Winter  Hibiscus, by  Minfong   Ho, a  girl  named  Saeng  tries  to  adjust  to  a  new country, but it is nearly impossible. She is stressed about failing the driver’s test, country, but it is and she realizes that  nothing is  the same. Except for  one thing  that  she  quickly  recognized. A  plant called the “Winter Hibiscus.”It made her think of her old life in Vietnam. It helped her  set  through  hard  times  and she didn’t want to give up on anythings.This is exactly why Minfong Ho ends the  last paragraph  by stating  that Saeng  will retry  the driving test when the hibiscus is budding.The  flower gives her a thought of home   in  Vietnam, making her try and try again.Also,the author  ends the  story  like   this  to  state a  theme. This particular  theme  is,  “No matter  how hard something  might  be, you can get through it. You  just  have  to  find  a way that benefits you most.”'",x2,x2,x2,10351
"'The author comes back to that paragraph because in the story Saeng is so sorry she did not Pass the test. Now saeng wants to make up for it, She vowed to herself she will Pass that test. For example, when I say to herself I am going to get sumthin done I do what it takes to get it done and I don't give up when things get rough, Also, This last sentense is what the main idea of the story is, To make up that test and Pass it, To get done what needs to be done'",x1,x1,x1,10352
"The reason why this author includes this story with this paragraph is because it is still talking about saeng and that is more like her and that she has a mind like a butterflye that was trapped a burst out with this open the Saeng and her mom had but a tennage girl me and saeng we kind relate to the same thing.",x0,x0,x0,10353
"'In the story “Winter Hibiscus” by Minfong Ho, I think the ending paragraph is there to show that Saeng has not given up. She says, “When they come back…then I will take that test again.” She is talking about the hibiscus and the geese. The things that remind her of home. When the reminders of home come and give her strength, she will have the power to take the test. This shows that even though she has failed she will not give up and she will try again. I think that is the purpose of the paragraph. To show Saeng hasn't given up.  '",x2,x2,x2,10354
"The reason why the author concludes the story like that is because he is telling the reader that after the snow leaves the author will begin to plant more plants. The test is to make sure his plants don’t die during next summer.",x0,x0,x0,10355
"'In the story “Winter Hibiscus” by Mingfong Ho. The author is stating that Saeng is happy when she is around the plant and she finds peace with the plant because it brings back childhood memories. For example “And that rich sweet scent, that was familiar ton.” She loved the way it made her feel. When one of the leaves fell off and she breathed in, it remined her of grandmother. Mingfong might of experienced something like this. Mingfong might of wrote this because the story could relate to other people who moved from another country and have something that brought back memories. Everytime that l touch or smell a sweater,it brings back memorises of my grandmother. I feel that he wrote this because of his personal experience and it could relate to others'",x1,x2,x2,10356
"'The author concludes the story with this paragraph because she wants to show how some some people vowed silently because the don’t want to express themselves. Also maybe because they are not very mistful of people even themself. One day I was  like that I didn’t want to talk to anybody. All I want to do is sit in my room and think. Think about my life were I am going to go after i die. I just woulnd sit in my room in the dark wondering if in my room in the dark wondering if I  would come back in another body or will my soul roam the earth. But think I starting think that I am a kid, I got a wonderful like a head of me. I when I get to the one where I need to think about then I would . So  I started talking to everybody again'",x0,x0,x0,10357
"'The author concludes this story by saying this statement because the author want you to feel like the character in the book is determined. The ator is trying to put across a statement saying  get through then try again. The character is not giving up, and she will get through the test eve though its hard.'",x1,x1,x1,10358
"The author is talking about gardning and how she wants to get better at in the spring. She probably thinks shes bad at gardening because her mom is really good at it and she wants to be that good at gardening too.",x0,x0,x0,10359
"The reason why is so you get the feeling that Saeng feels about gardening. She is praying for spring to come so she can do it over again. She like to watch plants grow and become something that you can eat. That is way the Author concluded the story with this paragraph.",x0,x0,x0,10360
"'The author concludes the story with that paragraph to show determination and hope. The geese and the  hibiscus symbolize saeng’s determination, because they always come back no matter what. Saeng will be back to take the test , just like the geese will also be back. The hibiscus also symbolize her because it has faced adversity also. It has been taken to new paces and had new homes, much like saeng , and has a harsh winter coming in the near future.  However , it  always  finds a way to come back and bloom in the spring, which is what saeng hopes to do by taking the driver’s test. The author included the last paragraph to show symbolism between saeng  ,the  geese , and the hibiscus.That is why the author concludes the story with that paragraph.    '",x3,x3,x3,10361
"'The author concludes the story with that paragraph because he basicly trying to say that everything happens for a reason, and that reason might mean through seasons. She may think that she would have better on her test in the spring only for the simply fact that everything blooms in the spring.'",x1,x1,x1,10362
"The author concludes the story with this paragraph because it shows that she can go through these obstacles even though she moved from her home land. Also it shows that she has more confidence thats why the author concluded her story with that paragraph.",x1,x1,x1,10363
"'“When they come back, Saeng vowed silently to herself, in th spring. when the snows melt and the geese return and this hibiscus is budding, then I will take that test again.” I think the author concludes the story with the paragraph is that what happens to his life that he will take the test again. But in the story it talks about. One of the blossoms had fallen off, and carefully Saeng picked it up and smelled it So I think that they take care of there garden and try to make it live in the winter. So thats what I think about the last paragraph “when they come back, Saeng vowed silently to herself, in the spring. when the snows melt and the geese return and his hibiscus is budding, then I will take that test again.”'",x1,x1,x1,10364
"'The author concludes the story with this because that one paragraph basically sums the whole story up. ''When the snow melts and the geese return'' basically goes back to the beginning of the story when saeng started planting. This is why the author gave the story ends conclusion.'",x0,x0,x0,10365
"'The auther concludes the story with this paragraph for a few reasons. first, The test is important to Saeng so that she can prove to herself that she is able to pass it. Ending with this paragraph also gives the reader some suspense as to wheather Saeng will pass or even go to take the test again. Lastly, this paragraph shows Saeng’s personality traits. It shows that she is persistent, determined, and strong willed.'",x2,x1,x2,10366
"'In the story ''Winter Hibiscus'' at the end of the story the author writes ''when they come back, Saeng vowed silently to herself, In the spring, when the snow melt and geese return and this hibiscus Is budding, then I will take the test again.'' The reason why the author said that Is because she Is trying to tell the readers to get right back up and do it again, If you fell once there Is no harm and trying again. When its spring and the birds aren't flying south, she promise to take the drive's test. After failing a driver test Saeng buys a flower at a florIst that remInded her of Vietnam. She takes it home and put it in the garden. Told her mother that she fail, Saeng's mother was very understand and told her maybe next time In conclusion the author ‘write the last paragraph as a moral to never give up and keep trying until you accomplish your goals in life.  '",x1,x2,x2,10367
"The author concludes the story that way so she can keep everyone wondering. I belive she ended that way to let us know that she will be back and when she comes back she will be ready for everything including that test. She left us wondering because when she does come back she is going to want use to Read about what happened when she came back and what happened when she Retook the test. She only made that vowe to herself nobody else because if she did she would have let them down if she failed. That is why she concludes the story that way.",x2,x3,x3,10368
"The author ends the story with this because she is saying she will be around next year to take the test again. She is saying how she wants to be around when the plants grow. She mostly wants to see the hibiscus grow. Because she appreciates and likes nature so much she wants to be around again to see them grow.",x0,x0,x0,10369
"The author concludes the story with this final paragraph to show how sentimental and important the plant is to Saeng. She will take that test again when the winter is over because it's too cold for nice hibiscus to survive. You need a winter hibiscus. “Not like the kind we had before “(44). This shows how important it is that she finds a hibiscus like the ones she had at home. She shows dissapointment in herself until that last paragraph when she shows courage and strong will.",x1,x1,x1,10370
"'When they  come back, Saeng vowed to silently herself, in the spring, when the snows melt and the geese return and  this hibiscus is budding, then I will take that test again. The author concluded this story in such a way that it makes the reader ask questions much live in the “Doll’s House” when there was a modernist way to interprentle means of a sty by makeing the reader ask questions instead of that beig a moral to the story. For example in the “Doll’s House'' the main character Nora run away and all are could get as a slaming door. Much live in this story there is a twist in that what test is the main character talking about? Is she goig to try to move ww friends? is this live a resolution she is making to herself? also this leaves the reader wanting more of the story so that they may go back and even read it again.'",x1,x1,x1,10371
"'The “Winter Hibiscus” is a realativly sad, but hopeful story that uses lots of symbols. The author concluded the story with a confident ending that makes the reader feel satisfied. The two reasons he wrote this conclusion paragraph is to give the ending a hopeful tone and relate the objects she sees to the spring. “Winter Hibiscus” ends with a hopeful tone thanks to the confident vow Saeng silently makes. She had a rough day, and the author wanted to make sure she had something to look as a goal. It also reveals how strong of a person Saeng is. The author uses this conclusion paragraph to leave the reader with a hopeful and confident tone. The second reason the author concluded with that conclusion paragraph was to relate some of the objects she sees to the spring. The geese represent the new place she is living in, and the hibiscus represents her old home. This paragraph links these two symbols together, so the reader can relate them to the spring. The way the author concluded the story was brillantly done. It represents a hopeful tone, and symbols that relate to spring. It ends confidently, and leaves the reader satisfied.  '",x2,x3,x3,10372
"'I think author concludes the with this paragraph because she wants to not give up. For example, he wants to show  us never give up at anything even if you fail. Therefore, that’s why he ends like that.'",x1,x1,x1,10373
"The author concludes the story with this paragraph because she wanted to get her point across. also because she wanted to create an under standing of the complexitier of the passage. The author wanted the reader to feel her message as if they were there to witness it.",x0,x0,x0,10374
"'The author concluded the story with the sentence, because the author wanted to show that since Saeng found the flower she has new hope and reason for passing the test. The flower gave her inspiration because it made her look back on her home in Vietnam “I mean, not like the kind we had at-at'' She found that she was still too shakey to say the words at home''When Saeng brought the plant to her new home and planted it in the garden it was like bringing a little piece of Vietnam home which made her feel better. The over all inspiration and the memories the flower had for Saeng made her feel better about her new home and feel better about her new home and gave her a reson to start fresh with her driving test.'",x2,x2,x2,10375
"'The author concludes the story with this paragraph because she is saying that when the flowers come back in the spring, and the geese return and this hibiscus is budding after winter, she will garden them again.'",x0,x0,x0,10376
"'The author of “winter Hibiscus” concludes the story with “when they come back, in the spring, when the snow melt and the geese return and this hibiscus is budding, then I will take the test again.”Saeng, because it creates the mood that Saeng is accepting the changes. Just like nature adapts to climate and location change, saeng seems to appreciate her situation and is deciding her situation and is deciding to make it a positive instead of a negative. The author is showing that if your having trouble, try again; through the main character, Saeng.'",x2,x2,x2,10377
"'I believe that the author concludes the story with this paragraph for alot of different reasons. One reason why the author could have concluded the story with this paragraph is because she might try it again. A second reason why the author could have concluded the story with this paragraph is because she probably wanted to try to make her mother proud. A third reason why the author could have concluded the story with this paragraph is because she probably really felt that she really disappointed herself. In conclusion, if you mess up on something, try again maybe you will do alot better.     '",x1,x1,x1,10378
"'Minfong Ho concluded “Winter Hibiscus” with the lines “when they come back, Saeng vowed silently to herself, in the spring, when the snows melt and the geese return and this hibiscus is budding, then I will take that test again” to show that there is always hope for better things to come. Saeng had become sad because she remembered her home in Vietnam. She longed for her natural home and familiarity. Her missed memories agonizingly hurt Saeng because she was now for away and in a different world. However, the author started to reveal hints that Seang would accept America and find come childhood memories there too. “Overhead, a flock of Canada geese flew by, their faint honks clear and –yes- familiar to Saeng now.” Already, Saeng was growing familiar with her surrounding area in America. Her hibiscus would keep her Vietnamese culture, tradition, and memories alive, as the geese would help her feel happy and accustomed in America. As one kept her Vietnamese and “American culture alive through memories, she would continue a successful life and pass her test. That is why Minfong Ho ended “Winter Hibiscus” with the particular paragraph.'",x3,x2,x3,10379
"'The author concludes the story in winter hibiscus, Kind of funny/ weird like . The concluding sentence is ‘when they come back saeng vowed silently to herself in the  spring, when  the snow melt and the geese return and this hibiscus is budding, then I will take that test again. I know one thing the part of the title is in the concluding sentence, so it is basically it is concluding the whole  story, plus the characters'",x0,x0,x0,10380
"The author concludes the story with that paragraph because it shows that the narrator is ready. The narrator tried the test once and failed. She bought herself a flower to cheer herself up. Her mother talked to her and then she felt better. She felt determined to pass the driving test just like the flower was determined to survive.",x2,x2,x2,10381
"'The author concludes the story with this paragraph because it symbolizes the change in Saeng as well as other things. The snow always melts when the seasons change. The geese always come back when the seasons change. The hibiscus will bud when the seasons change. Saeng will try again when the seasons change. But she’ll be a different person also. Knowing that everything will change but stay the same on the inside, Saeng decides she will too. She has more of an appreciation for America now after seeing the hibiscus and remembering her past.'",x1,x2,x2,10382
"'The author concludes the story with this paragraph “when they come back, Saeng vowed silently to herself, in the spring, when the snows melt and the geese return and this hibiscus is budding, then I will take that test again.” The author shows that Saeng will take the test again and that she will be ready and she will pass the test. Also, the author concludes the story with that paragraph because it shows that it ends the story knowing that she will take the test over again, so she knows she has faith to take the test again and make her mother proud that she passed. This is why the author concludes the story with this paragraph'",x1,x1,x1,10383
"I think the author concludes the story with this paragraph because in the spring it’s warmer and more fun plus she will have time to study her stuff in winter for the spring time. Also because like she says in the story it goes along with the conclusion at the end that she finally understood what was going out so she connected it to the way the geese are.",x0,x0,x0,10384
"The author concude the story with that paragraph because its what she solemely promoted herself.",x0,x0,x0,10385
"'In “Winter Hibiscus” by Minfong Ho, the author’s purpose in concluding the story with “When they come back, Saeng  vowed silently to herself, in the spring, when the snows melt and the geese return and this hibiscus is budding, then l will take that test again,” was to show how the hibiscus and the other plants in the store symbolized Saeng. When Saeng enters the store, she becomes overwhelmed by how many things she had forgotten about living in Vietnam. “Plants that she had not even realized she had known but forgotten grew her back into her childhood world.” This is when Saeng associates herself and her childhood with these plants. When she sees another plant she knows in a pot, she thinks to herself, “How strange to seat in a pot back home it just grew wild, jutting out from the cracks in the brick walls or between filed roofs. “This symbolizes her, because out of her home, she seems to feel strange and caged, too, while at home in Vietnam she was much more free-spirited. The hibiscus plant, when Saeng takes it home, is described by her mother as strong enough to make it through the cold months”. Saeng identifies herself with this description, and so decided that when the hibiscus is done dealing with the bad stuff, she will have, also, and will have budded and grown just like her plant. Then, she will be ready to achieve her goal.'",x3,x3,x3,10386
"'The author concluded the story with ''when they come back, Saeng vowed silently to herself, in the spring when the snow melts and the geese return and the hibiscus is budding, then I will take that test again. Saeng believes that if the hibiscus can survive through hard times and adapt to changes, and survive she can also. Saeng icoms that even though she has moved to the United States and it is different she is strong enough to survive. Failing her drivers test dosent mean that she is incapable of anything, but trying again with a fresh start like the hibiscus.'",x2,x2,x2,10387
"'The author concludes the story with this because the author wants to show Saeng hasn’t given up. Easly in the story Saeng goes to the green house and starts to cry. When she gets home she says to her mother, “I-I failed the test.” Because of this Saeng wanted to go back and try again. That is why the author ended with that paragraph.'",x1,x1,x1,10388
"'The last paragraph was added in order to represent the determinedness and adapting to new things in Saeng and her family. In the beginning, Saeng held bitterness at failing the test. But after she remembers her homeland through the flower she accepts it. Just as the flower will bud, she will be a new person and thus pass the test. An example of her being determined to deal with it is that she does make friends, and, though the food she offered was rejected she didn’t give in. The moment of breakdown was as she got the flower. After she got home it was over with and again she accepts the change.'",x2,x1,x2,10389
"The author include the last paragraph because Saeng is not going to give up. and she will try again. I think Saeng bought the flower because she had them at her home land and it will help her. For example Saeng started to cry because she miss her homeland.",x1,x1,x1,10390
"I think that the author concludes the story with this paragraph because he things when the flowers come back they would be batter. I think the he thinks that it would be a better test next time",x1,x1,x1,10391
"'The author concludes “Winter Hibiscus” with the paragraph because it continues the theme of adjusting to changes in life. In the story, Saeng has come to the United States from Vietnam and it is quite a change. Also changed are the plants. The hibiscus reminds Saeng of Vietnam, but it is different. The mother in the story says, “Its flowers aren’t as pretty, but it’s strong enough to make it through the cold winter months here, this winter hibiscus. “The hibiscus also relates to the theme because it is able to adjust to changes. The final paragraph talks about snow melting, geese returning and the hibiscus budding. These are all changes the author uses to connect to the theme. This adds more understanding to the story’s message. Additionally, the tone of the last paragraph is hopeful, which gives the reader a positive feeling. The tone adds to the theme of the story.'",x2,x3,x3,10392
"The story is about he failing the test. She says she will try next year when the geese come back.",x1,x1,x1,10393
"I think he means thas seasons change and that winter will come again. I think that is the test. ",x0,x0,x0,10394
"'I thinks that the author concludes the story with the given paragraph to show that she is similar to the hibiscus and geese. First, the geese and hibiscus both have a goal, which is to survive the winters. Geese fly south for the winter to stay warm. This is similar to Saeng worse thing both moved to a different environment where they must adapt. Also, Saeng must experience winter along with the hibiscus. The hibiscus needs tobe strong, to overcome winter, from this, it shows Saeng is like her hibiscus because she needs to be strong to overcome the test. If her hibiscus can overcome it’s test, winter then she can survive to cangner her own.'",x2,x3,x3,10395
"'The author of “Winter Hibiscus” includes “when they come back in the spring, when the snows melt and the geese return and this hibiscus is budding, then I will take the test again because it shows that she can adapt to change and still can think about her old country too. An example of how she can keep her old country alive in her life is” But she had grown up eating it and, she admitted to herself, much perferred it to a Big Mac.” This shows that she can still eat the foods she ate back at her old home and try new things at her new home. In conclusion the excerpt shows that the author can put both cultures together and be happy.'",x2,x2,x2,10396
"'There could be many reasons why the author concludes the story with this paragraph. There could be many different meanings of this paragraph that could have importance to the story. I think that the author includes this to say that when the spring comes, she will have many more reasons to take the driving test. You can break this paragraph down to mean many different things. I interpreted it to mean that when the spring comes back, she will have a new beginning. The snow melting away represents all the hardship she faced in the previous year. The geese returning and the hibiscus budding means that they are also coming back to start the new year. They are too coming back, getting ready to start their new life. It is included at the end to show how Saeng is trying to forget about how she failed the test. She is using this time now to prepare for the next time she is going to take the driving test. She thinks that once she forgets all of the bad things she went through the previous year. She had to move on and be able to pass the driving test the next time around. The author concluded the story with the paragraph to show how Saeng plans to solve her problems. The way you interpret the paragraph gives you different ideas about what it is trying to say. I think that it is showing Saengs new beginning that she will have to go through the next year. '",x2,x3,x3,10397
"'I think the author concludes the story with the phase “when they come back, Saeng vowed silently to herself, in the spring, when the snows melt and the geese return and this hibiscus is budding, then I will take that test again” I there saying that they will be ready for them the next time they come back.'",x0,x0,x0,10398
"'The author ended the story “Winter Hibiscus” with Saeng vowing to retake the test. He ended it this way to show the themes of this story. One theme of the story is to never give up. The winter Hibiscus has to last through the long winter but it does survive, and it inspires Saeng to keep trying. Another theme is to overcome your obstacles. The flower faces many dangers, but still manages to blossom. Saeng wants to overcome her obstacles and pass the test. Therefore the ending of the story displays the themes.'",x2,x1,x2,10399
"'The author concludes this part, because it made the story stand out a little. For example when Saeng said that she ment when the plants came back. It also gave the ending a little something to hang on two, rather than staping on talking about the v or geese to get the reader off topic. Last she also ment when the geese came back.'",x0,x0,x0,10400
"I think The Author finish the story of with that Because the girls see’s this plant As A symbol of straidth And fAith so she will tAke the test Next year When it comes Back Because she truly likes the plant And she hopes it will Bring her lack.",x1,x1,x1,10401
"'I think the author ended the story with that phrase to show that she wont give up; no matter how hard it is she keeps trying. The girl says in the story “I failed the test,” and then at the end of the story says I will take that test again so she is not willing to fail forever. I also think the author ended the story with that paragraph to make you wonder if she will ever pass the test.'",x1,x1,x1,10402
"I think the author writes this because whatever test she has to take she wasn’t ready for before but now whenever the geese return and the hibiscus return the she will be ready to take the test. Maybe she wasn’t mentally prepared. So inconclusion I think when she says the geese and the hibiscus return the she will take the test and maybe she wasn’t physicaly and mentally prepared for it. ",x1,x1,x1,10403
"'Authors chose their closing paragraphs carefully. The author chose to end their story with this paragraph because all of the stuff the actor has in the last paragraph represents something special in the characters eyes. There are resons the author chose to conclude the story with that paragraph. The authors chose of the ending paragraph is very important. The character says “this hibiscus is budding, then I will take that test again”. The hibiscus that she mentions represents the ability to overcome obsticles. In the story it is talking about the girl overcoming the failed test and retaking it. That is why the author concludes with that. The author also writes. “when the snow melts and the geese return” This to the character represents new beginings and chances. That gives the character the sense that next time around she will pass the test. The author adds that paragraph in the end to symbolize new beginnings and chances and the ability to over come obsticles. Authors choose their last paragraph for specific reasons. This author did as well. The author did it to symbolize things.'",x2,x2,x2,10404
"The author concludes the story with that paragraph because of a saying that when its cold and silent she’s hot to her self but when the snow  melts and spring is here. She’s said  and does lots of fun things.",x0,x0,x0,10405
"'I believe the author concluded the story with that paragraph because the geese that flew down south in a beautiful Vshape formation, fly down every season. So she tells herself, basically, she will take the test again when the geese return and the hibiscus plant is budding. For example, she thinks to herself, “Almost reluctantly, she realized that many of the things that she had thought of as strange before had become, through the quiet repitition of season upon season, almost familiar to her now.” Basically, looking up at the geese she is almost reminded of an experience she went through somewhat similar.'",x1,x1,x1,10406
"'The author concludes the story with this paragraph, ''When they came back, Saeng vowed silently to herself, in the spring when the snows melt and the geese return and this hibiscus is budding, then I will take that test again to emphasize that you can overcome a defeat or failure by waiting until the ''season'' come again for you to re-endure. Basically, the hibiscus(a plant) meant much to the narrator and her mother which was dying and they dug up a hole to help it to grow, so when it grows again that proves that it will be living better. So when Saeng relates the test that will be her her having the opportunity to past the test. The story with this paragraph symbolizing a new beginning about to take place. This actually means a situation that will came again that will help you to get what is needed out of it that you missed. The story and the paragraph emphasizes what life is about to budling a cycle.'",x3,x2,x3,10407
"She can’t wait till the flowers start to come back when the snow melts so it isn’t very cold out so they grow and she is going to take her test that she has failed when the geese and flowers come back.",x1,x1,x1,10408
"'The author concludes with this paragraph to show that Saeng, like the geese and the hibiscus, will return again and have hope. Saeng is a little depressed in the story because she is in a new country, and just failed her driving test. The hibiscus plant in the florist shop brings back painful emotional memories for her, but at the same time, s very comforting. Later in the story, she plants the hibiscus outside in the garden with her mother. As her mother goes inside, Saeng watches the geese fly overhead. “Almost reluctantly, (Saeng) realized that many of the things that she had thought of as strange before had become, through quiet repetition of season upon season, almost familiar to her. Like the geese.” Saeng knew the geese would return in the spring, just like she would to her driving test. The hibiscus would be in bloom again too to provide her with hope. This is what the final paragraph in the story “winter hibiscus” means.'",x3,x2,x3,10409
"'The author concludes the story with this paragraph to show saeng’s everlasting determination. This idea of her determination to succeed can be connected to the plant she brings home. The plant she knew grew wild where she used to live, but she found it potted in the United States which is limiting its growth, just like saeng’s new country seems unordinary, and she feels out ofplace.'",x1,x2,x2,10410
"'The author concludes the story with Saeng telling herself she’ll take the test again because it draws together the overall theme and major actions of the story. The theme of the story is that you can get used to a new environment by finding beauty in it and similarities to your old home. Saeng says that “many of the things that she had thought of as strange before had become, through the quiet repitition of season upon season, almost familiar to her now like the geese.” And when she’s in the greenhouse the plants draw her back into memories of Vietnam and her grandmother. Saeng was having a hard time adjusting to new things after moving to America, but she was determined to overcome the difficulties just like she had overcome the differences between the US and Vietnam. I think the author concluded the story by talking about the geese and the hibiscus and re.taking the test because it demonstrates all the ways that Saeng is adjusting to her new life and shows her and the reader that she can overcome new things. She vows to herself that she can do it, and fereshadows her future and sucess and adaptation to an American lifestyle.  '",x3,x3,x3,10411
"'The author concludes the story with the paragraph that she did because it was the end and the start of a new beggining. The author uses the sensens in her story. The winter is the current season and spring is on its way. Although Saeng failed her test in the winter when most things die, she is looking forward to spring to start again on her test. The geese will return and the hibiscus will bud to show spring is here with new life. Saeng will also have new life in her test to pass it this time and drive. The spring season will come and new life will be provided to all.   '",x2,x2,x2,10412
"The author concludes the story with this paragraph because the paragraph is like say most of the story but in a small and shorter way.",x0,x0,x0,10413
"This paragraph is a good way to end the story because it relates to the test. The narrator says she will try again in the spring. ",x1,x1,x1,10414
"I believe that the author  concludes the story with this paragraph because it's what the story is all about it just exploins what happened in the end as if what happeed through the story was the growth and living of a flower.",x0,x0,x0,10415
"'The story  “Winter Hibiscus'' by Minfong Ho. The author concludes the story in a what seems like incomplete paragraph. The girl Saeng vows to take her driver test over when the spring comes. when Saeng was holding the plant, she felt cold and halpless like how the plant did. ''Then she noticed the potted plant that Saeng was holding, it's leaves quivering in the wind.'' By Saeng's mother reassuring her that she was okay with her choice it made Saeng grow as a person, ''I'm glad you got it.'' Saengs mother also says, ''look how root-bound it is, poor thing.'' That in a way describes Saeng clinging to stay connected with her country. Saeng’s mother also tells her of now the plant will surely survive. When the spring comes the plant will be just as strong, and so will Saeng. Which is why the author leaves off where she did'",x1,x3,x2,10416
"'The author concludes the story by showing the girl’s connection to the plant and the symbolism of the geese, the “Winter hibiscus” is her connection to her homeland. She said she’ll retake her driving test when her plant buds and is brave, so she will do the same. The geese flying south show her journey as a person because she will take the test when the geese come back from their journey, as she comes back from hers.'",x2,x2,x2,10417
"'The author wrote the ending paragraph the way she did for many reasons. The main reason for this is because she wanted to end the story on a lighter note. All throughout the story there was depresing nogistalistic tone that made the reader yearn for the past. The author wanted to put on emphisis on being strong even though you may not enjoy where you are at. Also the author wanted to show the strength of the main of the main character Saeng. Even though she has just failed a test in a new, strange world she still wishes to continue pushing foward. This adds more demension the the character and makes her less static and more dynamic. This is a very good story to read if you are homesick and need something to push you forward.'",x2,x2,x2,10418
"The author concludes with that statement because it shows she needs time. She needs time to adjust to her new home like the hibiscus to get some roots in the new soil she is on. When she is at the orchard she sees the hibiscus and has memories of her old home making her cry but yet feel good at the same time.",x2,x1,x2,10420
"I believe the author concludes the that passage in the story to show patintions. Saeng was to wait for spring maybe it will feel like her home town again. She likes the spring better than the winter. She likes the birds the geese return in sping. They go away in winter. That way I believe the author concludes that passage.",x1,x1,x1,10421
"'“when they come back, Saeng vowed silently to herself, in the spring, when the snow melt and the geese return and this hibiscus is budding, then I will take that test again.” The author has left her home and moved to another country. She is now in an unfamilar place. Everything that now surrounds her is new and mostly un-known. By ending the story with this quote, it suggest that the author still has hope of adapting to her new home. When she left her home, she did not just leave a building behind. She left her home, people she loved, and an endless list of memories. At times she may have felt out of place because she was no longer in her comfort zone. She is now “out of the box,” and in a whole new world. When she saw the hibiscus, the exotic plant took her back to her memories and to the love of her old home. Then she came back to reality and broke apart with sadness and “failed her test.” The ending sentence shows that the author is willing to try to survive in this new place and that she is still determined to pass her own test of adapting.  '",x3,x2,x3,10422
"'The author concludes as the story with the paragraph ''when they come back, Saeng vowed silently to herself., in the spring, when the snows melt and the geese return and this hibiscus is budding, then I will take that test again'' mean that she will take the test and hoped she pass so she could make her mother happy and support her. She chosee spring because spling is the rebirth of nature and Saeng would like to retake the test with a clear and clean mind. I think that the reason why the author choose to put the paragraph in the end of the story. '",x1,x1,x1,10423
"'The author concludes the story with that paragraph for several significant reasons. Throughout the story Saeng struggles with her past and overcoming it. The paragraph helps bring a sense of closure to the story. When Saeng returns home with the hibiscus she tells her mother she couldn’t help it and was unable to overcome her past. Saeng said, “I-I failed the test.” When she says “the test” she means the ability to cope with the loss of her grandmother and homeland, and overcome it. In the concluding paragraph Saeng says she will retake the test. She said, “When the snows melt and the geese return and the hibiscus is budding, then I will take that test again.” In conclusion, the author uses the concluding paragraph to bring closure to the story and the emotional obstacles Saeng faces.'",x2,x2,x2,10424
